#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-03-16T10:30:17 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-16T10:30:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=200&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=VII/202/catalog&-source=VII/202/catalog&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=GLON&-out=GLAT&-out=Rsun&-out=Rgc&-out=E(B-V)&-out=(m-M)V&-out=Vt&-out=MVt&-out=(V-I)t&-out=Rh&-out=muV&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#INFO	ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	creator=Harris W.E.	    First author or institution
#INFO	cites=bibcode:1996AJ....112.1487H	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/202	    Dataset landing page
#INFO	publication_date=2015-08-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;phys.atmol.number]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F5.1)	? Distance from Galactic center, assuming R(Sun)=8.0 kpc	[ucd=pos.distance;pos.galactocentric]
#Column	E(B-V)	(F5.2)	? Foreground reddening	[ucd=phot.color.excess]
#Column	(m-M)V	(F5.2)	? Apparent visual distance modulus	[ucd=phot.mag.distMod]
#Column	Vt	(F5.2)	? Integrated V magnitude of the cluster	[ucd=phot.mag;em.opt]
#Column	MVt	(F6.2)	? Absolute visual magnitude (cluster luminosity)	[ucd=phys.magAbs;em.opt.V]
#Column	(V-I)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	Rh	(F5.2)	? Half-mass radius	[ucd=phys.angSize]
#Column	muV	(F5.2)	? Central surface brightness in V band	[ucd=phot.mag.sb;em.opt.V]
ID;RAJ2000;DEJ2000;GLON;GLAT;Rsun;Rgc;E(B-V);(m-M)V;Vt;MVt;(V-I)t;Rh;muV
Rup 106  ;12 38 40.2;-51 09 01;300.89; 11.67; 20.6; 18.0; 0.21;17.22;10.90; -6.32;     ; 1.10;21.82
NGC 4590 ;12 39 28.0;-26 44 34;299.63; 36.05; 10.1; 10.0; 0.04;15.14; 7.84; -7.30; 0.94; 1.55;18.67
NGC 4833 ;12 59 35.0;-70 52 29;303.61; -8.01;  5.9;  6.9; 0.33;14.87; 6.91; -7.96; 1.33; 2.41;18.45
NGC 5024 ;13 12 55.3;+18 10 09;332.96; 79.76; 18.4; 18.9; 0.01;16.36; 7.61; -8.75; 0.86; 1.11;17.39
NGC 5053 ;13 16 27.0;+17 41 53;335.69; 78.94; 16.2; 16.8; 0.03;16.14; 9.47; -6.67; 0.90; 3.50;22.19
NGC 5139 ;13 26 45.9;-47 28 37;309.10; 14.97;  5.1;  6.3; 0.12;13.92; 3.68;-10.24; 1.05; 4.18;16.77
NGC 5272 ;13 42 11.2;+28 22 32; 42.21; 78.71; 10.0; 11.9; 0.01;15.04; 6.19; -8.85; 0.93; 1.12;16.34
NGC 5286 ;13 46 26.5;-51 22 24;311.61; 10.57; 10.7;  8.2; 0.24;15.90; 7.34; -8.56; 1.19; 0.69;16.07
AM 4     ;13 55 50.1;-27 10 22;320.15; 33.54; 29.2; 24.8; 0.04;17.45;15.90; -1.55;     ; 0.42;24.75
NGC 5466 ;14 05 27.3;+28 32 04; 42.15; 73.59; 16.6; 16.9; 0.00;16.10; 9.04; -7.06; 0.82; 2.25;21.28
NGC 5634 ;14 29 37.3;-05 58 35;342.21; 49.26; 25.3; 21.3; 0.05;17.17; 9.47; -7.70; 0.96; 0.54;17.49
NGC 5694 ;14 39 36.5;-26 32 18;331.06; 30.36; 33.9; 28.3; 0.09;17.93;10.17; -7.76; 0.98; 0.33;16.34
IC 4499  ;15 00 18.5;-82 12 49;307.35;-20.47; 18.4; 15.4; 0.23;17.04; 9.76; -7.28;     ; 1.50;20.92
NGC 5824 ;15 03 58.5;-33 04 04;332.55; 22.07; 31.3; 25.1; 0.13;17.88; 9.09; -8.79; 1.05; 0.36;15.08
Pal 5    ;15 16 05.3;-00 06 41;  0.85; 45.86; 22.6; 18.0; 0.03;16.87;11.75; -5.12;     ; 2.96;24.67
NGC 5897 ;15 17 24.5;-21 00 37;342.95; 30.29; 12.7;  7.6; 0.08;15.77; 8.53; -7.24; 1.04; 2.11;20.49
NGC 5904 ;15 18 33.8;+02 04 58;  3.86; 46.80;  7.3;  6.1; 0.03;14.41; 5.65; -8.76; 0.95; 2.11;16.05
NGC 5927 ;15 28 00.5;-50 40 22;326.60;  4.86;  7.4;  4.5; 0.47;15.81; 8.01; -7.80; 1.63; 1.15;17.45
NGC 5946 ;15 35 28.5;-50 39 34;327.58;  4.19; 12.3;  7.1; 0.55;17.16; 9.61; -7.55; 1.58; 0.69;17.42
BH 176   ;15 39 07.3;-50 03 02;328.41;  4.34; 15.2;  9.4; 0.77;18.30;14.00; -4.30;     ;     ;23.36
NGC 5986 ;15 46 03.5;-37 47 10;337.02; 13.27; 10.3;  4.7; 0.27;15.90; 7.52; -8.38; 1.22; 1.05;17.56
Lynga 7  ;16 11 03.0;-55 18 52;328.77; -2.79;  7.0;  4.2; 0.73;16.49;     ;      ;     ;     ;
Pal 14   ;16 11 04.9;+14 57 29; 28.75; 42.18; 72.2; 67.3; 0.04;19.42;14.74; -4.68;     ; 1.15;25.55
NGC 6093 ;16 17 02.5;-22 58 30;352.67; 19.46;  8.7;  3.1; 0.18;15.25; 7.33; -7.92; 1.11; 0.65;15.19
NGC 6121 ;16 23 35.5;-26 31 31;350.97; 15.97;  2.2;  6.0; 0.36;12.78; 5.63; -7.15; 1.42; 3.65;17.88
NGC 6101 ;16 25 48.6;-72 12 06;317.75;-15.82; 15.1; 11.0; 0.04;16.02; 9.16; -6.86;     ; 1.71;20.12
NGC 6144 ;16 27 14.1;-26 01 29;351.93; 15.70; 10.1;  3.4; 0.32;16.01; 9.01; -7.00; 1.10; 1.62;20.27
NGC 6139 ;16 27 40.4;-38 50 56;342.37;  6.94; 10.5;  3.9; 0.74;17.40; 8.99; -8.41; 1.86; 0.82;17.30
Terzan 3 ;16 28 40.1;-35 21 13;345.08;  9.19; 26.4; 18.9; 0.32;18.10;12.00; -6.10;     ; 1.30;22.52
NGC 6171 ;16 32 31.9;-13 03 13;  3.37; 23.01;  6.3;  3.3; 0.33;15.01; 7.93; -7.08; 1.45; 2.70;18.84
1636-283 ;16 39 25.5;-28 23 52;351.91; 12.10;  7.6;  2.0; 0.50;15.96;12.00; -3.96;     ;     ;20.75
NGC 6205 ;16 41 41.5;+36 27 37; 59.01; 40.91;  7.0;  8.3; 0.02;14.28; 5.78; -8.50; 0.86; 1.49;16.80
NGC 6229 ;16 46 58.9;+47 31 40; 73.64; 40.31; 29.3; 28.7; 0.01;17.37; 9.39; -7.98; 1.01; 0.37;16.99
NGC 6218 ;16 47 14.5;-01 56 52; 15.72; 26.31;  4.7;  4.6; 0.19;13.97; 6.70; -7.27; 1.14; 2.16;18.17
NGC 6235 ;16 53 25.4;-22 10 38;358.92; 13.52;  9.7;  2.7; 0.36;16.06; 9.97; -6.09; 1.36; 0.84;18.98
NGC 6254 ;16 57 08.9;-04 05 58; 15.14; 23.08;  4.3;  4.6; 0.28;14.03; 6.60; -7.43; 1.21; 1.81;17.69
NGC 6256 ;16 59 32.6;-37 07 17;347.79;  3.31;  9.3;  2.3; 0.84;17.45;11.29; -6.16;     ; 0.85;17.89
Pal 15   ;17 00 02.4;-00 32 31; 18.87; 24.30; 43.6; 36.9; 0.40;19.43;14.00; -5.43;     ; 1.21;24.87
NGC 6266 ;17 01 12.6;-30 06 44;353.58;  7.32;  6.7;  1.8; 0.47;15.59; 6.45; -9.14; 1.58; 1.23;15.35
NGC 6273 ;17 02 37.7;-26 16 05;356.87;  9.38;  8.5;  1.5; 0.37;15.80; 6.77; -9.03; 1.35; 1.25;16.82
NGC 6284 ;17 04 28.8;-24 45 53;358.35;  9.94; 14.3;  6.6; 0.28;16.65; 8.83; -7.82; 1.31; 0.78;16.65
NGC 6287 ;17 05 09.4;-22 42 29;  0.13; 11.02;  8.4;  1.6; 0.59;16.46; 9.35; -7.11; 1.74; 0.75;18.33
NGC 6293 ;17 10 10.4;-26 34 54;357.62;  7.83;  8.8;  1.5; 0.39;15.94; 8.22; -7.72; 1.28; 0.91;16.18
NGC 6304 ;17 14 32.5;-29 27 44;355.83;  5.38;  6.0;  2.2; 0.52;15.49; 8.22; -7.27; 1.70; 1.41;17.34
NGC 6316 ;17 16 37.4;-28 08 24;357.18;  5.76; 11.5;  3.7; 0.55;17.01; 8.43; -8.58; 1.80; 0.71;17.40
NGC 6341 ;17 17 07.3;+43 08 11; 68.34; 34.86;  8.1;  9.5; 0.02;14.59; 6.44; -8.15; 0.88; 1.09;15.58
NGC 6325 ;17 17 59.2;-23 45 57;  0.97;  8.00;  9.4;  1.9; 0.89;17.63;10.33; -7.30; 2.15; 0.94;17.56
NGC 6333 ;17 19 11.8;-18 30 59;  5.54; 10.70;  8.3;  1.7; 0.36;15.71; 7.72; -7.99; 1.33; 0.95;17.40
NGC 6342 ;17 21 10.2;-19 35 14;  4.90;  9.73;  9.1;  1.9; 0.44;16.15; 9.66; -6.49; 1.57; 0.88;17.44
NGC 6356 ;17 23 35.0;-17 48 47;  6.72; 10.22; 14.6;  7.0; 0.29;16.73; 8.25; -8.48; 1.45; 0.74;17.09
NGC 6355 ;17 23 58.6;-26 21 13;359.58;  5.43;  7.1;  1.2; 0.75;16.58; 9.14; -7.44; 1.83; 0.87;18.05
NGC 6352 ;17 25 29.2;-48 25 22;341.42; -7.17;  5.6;  3.3; 0.21;14.39; 7.96; -6.43; 1.50; 2.00;18.42
IC 1257  ;17 27 08.5;-07 05 35; 16.53; 15.14; 24.5; 17.3; 0.73;19.20;13.10; -6.10; 1.83;     ;
Terzan 2 ;17 27 33.4;-30 48 08;356.32;  2.30;  9.5;  1.6; 1.42;19.29;14.29; -5.00;     ; 1.52;21.58
NGC 6366 ;17 27 44.3;-05 04 36; 18.41; 16.04;  3.6;  4.9; 0.69;14.92; 9.20; -5.72;     ; 2.63;21.24
Terzan 4 ;17 30 38.9;-31 35 44;356.02;  1.31;  8.9;  1.1; 2.35;22.04;16.00; -6.04;     ;     ;
HP 1     ;17 31 05.2;-29 58 54;357.42;  2.12;  7.2;  0.9; 1.19;17.98;11.59; -6.39;     ; 3.10;21.29
NGC 6362 ;17 31 54.8;-67 02 53;325.55;-17.57;  7.5;  5.1; 0.09;14.65; 7.73; -6.92; 1.14; 2.18;19.19
Liller 1 ;17 33 24.5;-33 23 20;354.84; -0.16; 10.5;  2.6; 2.98;24.35;16.77; -7.58;     ; 0.45;23.15
NGC 6380 ;17 34 28.0;-39 04 09;350.18; -3.42;     ;     ; 1.38;     ;11.31;      ;     ; 0.75;19.96
Terzan 1 ;17 35 47.8;-30 28 11;357.57;  1.00;  6.5;  1.5; 1.64;19.15;15.90; -3.25;     ; 3.82;25.09
Ton 2    ;17 36 10.5;-38 33 12;350.80; -3.42;  7.9;  1.4; 1.24;18.33;12.24; -6.09;     ; 1.08;22.16
NGC 6388 ;17 36 17.0;-44 44 06;345.56; -6.74; 11.5;  4.4; 0.38;16.49; 6.72; -9.77; 1.47; 0.67;14.55
NGC 6402 ;17 37 36.1;-03 14 45; 21.32; 14.81;  8.7;  3.8; 0.60;16.56; 7.59; -8.97; 1.64; 1.29;18.41
NGC 6401 ;17 38 36.9;-23 54 32;  3.45;  3.98;  7.5;  0.9; 0.85;17.02; 9.45; -7.57; 2.01; 1.91;18.67
NGC 6397 ;17 40 41.3;-53 40 25;338.17;-11.96;  2.2;  6.0; 0.18;12.31; 5.73; -6.58; 1.03; 2.33;15.65
Pal 6    ;17 43 42.2;-26 13 21;  2.09;  1.78;  6.7;  1.4; 1.53;18.87;11.55; -7.32;     ; 1.06;21.58
NGC 6426 ;17 44 54.7;+03 10 13; 28.09; 16.23; 19.9; 13.8; 0.36;17.61;11.01; -6.60; 1.28; 0.96;20.37
Djorg 1  ;17 47 28.3;-33 03 56;356.67; -2.48;  9.2;  1.4; 1.70;20.10;13.60; -6.50;     ; 1.26;23.10
Terzan 5 ;17 48 04.9;-24 48 45;  3.81;  1.67;  8.0;  0.6; 2.32;21.71;13.85; -7.86;     ; 0.83;20.33
NGC 6440 ;17 48 52.6;-20 21 34;  7.73;  3.80;  8.0;  1.2; 1.09;17.90; 9.20; -8.70; 2.51; 0.58;17.02
NGC 6441 ;17 50 12.9;-37 03 04;353.53; -5.01;  9.7;  2.1; 0.45;16.33; 7.15; -9.18; 1.62; 0.64;14.99
Terzan 6 ;17 50 46.4;-31 16 31;358.57; -2.16;  7.5;  0.6; 2.04;20.69;13.85; -6.84;     ; 0.44;20.76
NGC 6453 ;17 50 51.8;-34 35 55;355.72; -3.87; 10.9;  3.1; 0.61;17.08;10.08; -7.00; 2.00; 0.37;17.35
UKS 1    ;17 54 27.2;-24 08 43;  5.12;  0.76;  7.5;  0.8; 2.93;23.47;17.29; -6.18;     ; 0.86;25.52
NGC 6496 ;17 59 02.0;-44 15 54;348.02;-10.01; 11.6;  4.4; 0.13;15.72; 8.54; -7.18;     ; 1.87;20.10
Terzan 9 ;18 01 38.8;-26 50 23;  3.60; -1.99;  7.8;  0.6; 1.75;19.88;16.00; -3.88;     ; 0.78;23.21
Djorg 2  ;18 01 49.1;-27 49 33;  2.76; -2.51; 13.8;  5.8; 1.00;18.80; 9.90; -8.90;     ; 0.83;19.50
NGC 6517 ;18 01 50.6;-08 57 32; 19.23;  6.76; 10.5;  4.1; 1.08;18.46;10.23; -8.23; 2.31; 0.62;17.77
Terzan 10;18 02 57.4;-26 04 00;  4.42; -1.86;  8.4;  0.8; 2.60;22.67;14.90; -7.77;     ;     ;21.28
NGC 6522 ;18 03 34.1;-30 02 02;  1.02; -3.93;  7.0;  1.1; 0.50;15.78; 8.27; -7.51; 1.51; 1.04;16.14
NGC 6535 ;18 03 50.7;-00 17 49; 27.18; 10.44;  6.8;  3.9; 0.32;15.15;10.47; -4.68;     ; 0.77;20.22
NGC 6528 ;18 04 49.6;-30 03 21;  1.14; -4.17;  7.4;  0.8; 0.62;16.28; 9.60; -6.68; 1.74; 0.43;16.91
NGC 6539 ;18 04 49.8;-07 35 09; 20.80;  6.78;  7.9;  3.0; 1.00;17.58; 9.33; -8.25; 2.23; 1.67;19.31
NGC 6540 ;18 06 08.6;-27 45 55;  3.29; -3.31;  3.5;  4.5; 0.60;14.60; 9.30; -5.30;     ; 0.24;16.40
NGC 6544 ;18 07 20.6;-24 59 51;  5.84; -2.20;  2.5;  5.5; 0.74;14.28; 7.77; -6.51; 1.92; 1.77;17.13
NGC 6541 ;18 08 02.2;-43 42 20;349.29;-11.18;  7.4;  2.1; 0.12;14.72; 6.30; -8.42; 1.01; 1.19;15.58
NGC 6553 ;18 09 15.6;-25 54 28;  5.25; -3.02;  4.7;  3.3; 0.78;15.79; 8.06; -7.73; 2.13; 1.55;18.15
NGC 6558 ;18 10 18.4;-31 45 49;  0.20; -6.03;  6.4;  1.8; 0.42;15.34; 9.26; -6.08; 1.46; 1.61;17.08
IC 1276  ;18 10 44.2;-07 12 27; 21.83;  5.67;  9.3;  3.6; 0.92;17.70;10.34; -7.36;     ; 2.35;21.66
Terzan 12;18 12 15.8;-22 44 31;  8.36; -2.10;     ;     ; 1.57;     ;15.63;      ;     ; 0.84;23.75
NGC 6569 ;18 13 38.9;-31 49 35;  0.48; -6.68;  8.5;  1.1; 0.56;16.38; 8.55; -7.83; 1.69; 1.33;18.08
NGC 6584 ;18 18 37.7;-52 12 54;342.14;-16.41; 13.0;  6.5; 0.11;15.90; 8.27; -7.63; 1.04; 0.80;17.79
NGC 6624 ;18 23 40.5;-30 21 40;  2.79; -7.91;  7.9;  1.2; 0.27;15.32; 7.87; -7.45; 1.42; 0.82;15.42
NGC 6626 ;18 24 32.9;-24 52 12;  7.80; -5.58;  5.7;  2.5; 0.41;15.07; 6.79; -8.28; 1.41; 1.56;16.08
NGC 6638 ;18 30 56.2;-25 29 47;  7.90; -7.15;  8.2;  1.5; 0.40;15.80; 9.02; -6.78; 1.50; 0.66;17.27
NGC 6637 ;18 31 23.2;-32 20 53;  1.72;-10.27;  8.2;  1.5; 0.17;15.11; 7.64; -7.47; 1.28; 0.83;16.83
NGC 6642 ;18 31 54.3;-23 28 35;  9.81; -6.44;  7.6;  1.6; 0.40;15.65; 9.13; -6.52; 1.45; 0.73;16.68
NGC 6652 ;18 35 45.7;-32 59 25;  1.53;-11.38;  9.4;  2.2; 0.09;15.14; 8.62; -6.52; 1.08; 0.65;16.31
NGC 6656 ;18 36 24.2;-23 54 12;  9.89; -7.55;  3.2;  5.0; 0.34;13.55; 5.10; -8.45; 1.42; 3.26;17.32
Pal 8    ;18 41 29.9;-19 49 33; 14.10; -6.80; 12.4;  5.2; 0.33;16.49;11.02; -5.47;     ; 0.57;19.83
NGC 6681 ;18 43 12.7;-32 17 31;  2.85;-12.51;  8.7;  2.0; 0.07;14.93; 7.87; -7.06; 0.99; 0.93;15.28
NGC 6712 ;18 53 04.3;-08 42 22; 25.35; -4.32;  6.7;  3.5; 0.46;15.55; 8.10; -7.45; 1.57; 1.37;18.65
NGC 6715 ;18 55 03.3;-30 28 42;  5.61;-14.09; 26.2; 18.6; 0.15;17.56; 7.60; -9.96; 1.10; 0.49;14.82
NGC 6717 ;18 55 06.2;-22 42 03; 12.88;-10.90;  7.1;  2.4; 0.21;14.90; 9.28; -5.62; 1.37; 0.68;16.48
NGC 6723 ;18 59 33.2;-36 37 54;  0.07;-17.30;  8.6;  2.6; 0.05;14.82; 7.01; -7.81; 1.05; 1.61;17.92
NGC 6749 ;19 05 15.3;+01 54 03; 36.20; -2.20;  7.7;  4.9; 1.50;19.09;12.44; -6.65;     ; 1.10;21.54
NGC 6752 ;19 10 51.8;-59 58 55;336.50;-25.63;  3.9;  5.3; 0.04;13.08; 5.40; -7.68; 0.93; 2.34;15.20
NGC 6760 ;19 11 12.1;+01 01 50; 36.11; -3.92;  7.3;  4.8; 0.78;16.73; 8.88; -7.85; 2.12; 2.18;18.79
NGC 6779 ;19 16 35.5;+30 11 05; 62.66;  8.34;  9.9;  9.5; 0.20;15.60; 8.27; -7.33; 1.16; 1.16;18.06
Terzan 7 ;19 17 43.7;-34 39 27;  3.39;-20.07; 23.0; 15.8; 0.06;17.00;12.00; -5.00;     ; 0.97;20.65
Pal 10   ;19 18 02.1;+18 34 18; 52.44;  2.72;  5.8;  6.4; 1.66;18.97;13.22; -5.74;     ; 0.99;22.03
Arp 2    ;19 28 44.1;-30 21 14;  8.55;-20.78; 27.6; 20.4; 0.11;17.54;12.30; -5.24;     ; 1.91;24.21
NGC 6809 ;19 39 59.4;-30 57 44;  8.80;-23.27;  5.3;  3.9; 0.07;13.82; 6.32; -7.50; 1.00; 2.89;19.13
Terzan 8 ;19 41 45.0;-34 00 01;  5.76;-24.56; 25.4; 18.5; 0.14;17.46;12.40; -5.06;     ; 1.00;22.82
Pal 11   ;19 45 14.4;-08 00 26; 31.81;-15.58; 12.6;  7.6; 0.34;16.56; 9.80; -6.76;     ; 1.49;20.33
NGC 6838 ;19 53 46.1;+18 46 42; 56.74; -4.56;  3.8;  6.7; 0.25;13.70; 8.19; -5.51; 1.36; 1.65;19.22
NGC 6864 ;20 06 04.8;-21 55 17; 20.30;-25.75; 18.4; 12.4; 0.16;16.82; 8.52; -8.30; 1.16; 0.47;15.55
NGC 6934 ;20 34 11.6;+07 24 15; 52.10;-18.89; 15.2; 12.4; 0.12;16.28; 8.83; -7.45; 0.99; 0.60;17.26
NGC 6981 ;20 53 27.9;-12 32 13; 35.16;-32.68; 16.8; 12.7; 0.05;16.28; 9.27; -7.01; 0.94; 0.88;18.90
NGC 7006 ;21 01 29.5;+16 11 15; 63.77;-19.41; 40.7; 38.0; 0.05;18.20;10.56; -7.64; 0.98; 0.38;18.50
NGC 7078 ;21 29 58.3;+12 10 01; 65.01;-27.31; 10.2; 10.3; 0.09;15.31; 6.20; -9.11; 0.85; 1.06;14.21
